date,tvl_cetus,apy_cetus,tvl_turbos,apy_turbos,merged_apy,merged_tvl
2024-12-02,26380636,164.67036,74466,88.34933,164.67036,26380636
2024-12-03,27843956,376.24235,77743,206.82484,376.24235,27843956
2024-12-04,25373178,207.38248,76949,117.40071,207.38248,25373178
2024-12-05,25359425,461.77007,80118,193.59002,461.77007,25359425
2024-12-06,22020515,279.02154,82254,174.81965,279.02154,22020515
2024-12-07,22635735,199.43146,85029,96.55983,199.43146,22635735
2024-12-08,26510925,155.8776,84197,134.03855,155.8776,26510925
2024-12-09,21797960,408.24095,79908,213.41766,408.24095,21797960
2024-12-10,24240951,372.56923,80409,185.23723,372.56923,24240951
2024-12-11,24471688,288.00893,82589,161.06774,288.00893,24471688
2024-12-12,25014222,405.06378,84403,190.79441,405.06378,25014222
2024-12-13,24532415,241.06821,86863,120.13717,241.06821,24532415
2024-12-14,26574204,158.21637,85750,99.17836,158.21637,26574204
2024-12-15,27391644,178.13177,92729,355.31789,178.13177,27391644
2024-12-16,27861500,219.96099,95761,135.47743,219.96099,27861500
2024-12-17,30036860,199.93325,91623,93.6556,199.93325,30036860
2024-12-18,27273517,315.9628,73598,184.66256,315.9628,27273517
2024-12-19,25957966,439.33532,72766,249.75425,439.33532,25957966
2024-12-20,30311047,510.25106,73259,345.80221,510.25106,30311047
2024-12-21,28994342,374.1831,62686,153.72464,374.1831,28994342
2024-12-22,26666399,309.07951,62743,151.52875,309.07951,26666399
2024-12-23,30702116,282.71088,64414,167.06344,282.71088,30702116
2024-12-24,33519913,218.80264,64511,153.55042,218.80264,33519913
2024-12-25,31344155,143.53163,64045,58.91745,143.53163,31344155
2024-12-26,28414766,176.5792,62140,78.81044,176.5792,28414766
2024-12-27,30169044,163.55957,60909,99.0094,163.55957,30169044
2024-12-28,30769547,147.92668,62071,81.86977,147.92668,30769547
2024-12-29,31574139,92.6771,59230,50.24831,92.6771,31574139
2024-12-30,31880551,174.21285,60026,92.50281,174.21285,31880551
2024-12-31,31177011,142.45552,59926,75.39303,142.45552,31177011
2025-01-01,31837177,90.68417,60940,41.75232,90.68417,31837177
2025-01-02,32717666,111.9688,61083,64.73841,111.9688,32717666
2025-01-03,34519326,159.77295,64093,60.85328,159.77295,34519326
2025-01-04,28293868,231.46314,53942,96.98611,231.46314,28293868
2025-01-05,31619244,126.94552,57943,72.98897,126.94552,31619244
2025-01-06,30603135,187.26783,57834,64.0354,187.26783,30603135
2025-01-07,27107050,204.45562,55900,9.99061,204.45562,27107050
2025-01-08,28802697,268.94107,56268,122.65191,268.94107,28802697
2025-01-09,31263470,217.97248,55956,103.13745,217.97248,31263470
2025-01-10,29923754,261.66052,58033,99.05372,261.66052,29923754
2025-01-11,33366580,113.92989,56946,37.97798,113.92989,33366580
2025-01-12,27935062,107.0658,55555,34.33671,107.0658,27935062
2025-01-13,29314681,283.17939,55892,147.76555,283.17939,29314681
2025-01-14,31158807,153.10829,55455,65.51116,153.10829,31158807
2025-01-15,32220657,212.91261,56860,121.88508,212.91261,32220657
2025-01-16,33631185,204.59562,56335,94.16244,204.59562,33631185
2025-01-17,37853199,194.84697,57018,122.63677,194.84697,37853199
2025-01-18,37555502,208.25248,53444,90.87509,208.25248,37555502
2025-01-19,35926585,157.58676,51747,124.19015,157.58676,35926585
2025-01-20,34286999,365.11543,50650,178.47989,365.11543,34286999
2025-01-21,34476323,203.08743,50074,106.9065,203.08743,34476323
2025-01-22,34672831,119.93385,48847,69.98362,119.93385,34672831
2025-01-23,32276182,195.41047,53736,126.74383,195.41047,32276182
2025-01-24,32133596,151.25581,53222,86.12216,151.25581,32133596
2025-01-25,31533553,105.47086,52665,33.31016,105.47086,31533553
2025-01-26,30139219,90.68083,51531,35.52946,90.68083,30139219
2025-01-27,29807441,287.53046,50567,148.99844,287.53046,29807441
2025-01-28,26314682,159.34642,48129,85.25906,159.34642,26314682
2025-01-29,30202102,195.94152,49375,110.4042,195.94152,30202102
2025-01-30,32907859,170.90207,52118,102.86039,170.90207,32907859
2025-01-31,33340061,155.35032,51794,105.63479,155.35032,33340061
2025-02-01,30475030,120.38841,49339,49.70142,120.38841,30475030
2025-02-02,23741652,263.22957,44498,65.73807,263.22957,23741652
2025-02-03,27735078,504.98642,32623,21.15944,504.98642,27735078
2025-02-04,29451664,283.77476,23240,18.1376,283.77476,29451664
2025-02-05,29564113,158.9471,22580,11.11051,158.9471,29564113
2025-02-06,28308623,167.53206,22196,17.20523,167.53206,28308623
2025-02-07,23731322,187.70376,21645,14.68894,187.70376,23731322
2025-02-08,24491438,109.33062,21864,0.65425,109.33062,24491438
2025-02-09,22451938,126.05272,21625,6.17825,126.05272,22451938
2025-02-10,25764062,173.78498,22204,3.90496,173.78498,25764062
2025-02-11,28432362,170.4012,22474,12.60458,170.4012,28432362
2025-02-12,28231218,175.98886,23215,6.27,175.98886,28231218
2025-02-13,29073925,154.93923,22841,4.96525,154.93923,29073925
2025-02-14,31120441,139.04188,22927,5.02396,139.04188,31120441
2025-02-15,29246473,72.56249,22715,2.67593,72.56249,29246473
2025-02-16,27240983,80.20892,22388,2.67838,80.20892,27240983
2025-02-17,27826407,93.63515,22247,2.72535,93.63515,27826407
2025-02-18,24438242,123.06848,21755,2.87268,123.06848,24438242
2025-02-19,25838519,89.92384,22127,22.30416,89.92384,25838519
2025-02-20,27677578,102.73349,22649,6.77972,102.73349,27677578
2025-02-21,28277317,149.09871,22287,7.20318,149.09871,28277317
2025-02-22,27572032,74.55309,22608,3.71461,74.55309,27572032
2025-02-23,29120247,65.50054,22463,3.07172,65.50054,29120247
2025-02-24,22706819,165.17844,21431,4.63249,165.17844,22706819
2025-02-25,23215789,245.49143,21516,1.72872,245.49143,23215789
2025-02-26,22045968,215.4476,21438,1.0206,215.4476,22045968
2025-02-27,20885236,141.12662,21121,0.76069,141.12662,20885236
2025-02-28,23281902,147.61478,21173,0.88466,147.61478,23281902
2025-03-01,27859490,81.47243,21224,0.81004,81.47243,27859490
2025-03-02,28587047,180.2417,22170,2.06441,180.2417,28587047
2025-03-03,25659093,162.36051,20758,1.11513,162.36051,25659093
2025-03-04,23865457,190.42409,20527,4.08557,190.42409,23865457
2025-03-05,24120713,126.68066,20797,1.96591,126.68066,24120713
2025-03-06,26962391,220.40742,21070,15.5896,220.40742,26962391
2025-03-07,27057866,224.09228,20703,1.65243,224.09228,27057866
2025-03-08,23827865,81.44192,20378,0.38172,81.44192,23827865
2025-03-09,20498358,92.66691,19896,0.33585,92.66691,20498358
2025-03-10,19797678,211.96219,19453,1.02009,211.96219,19797678
2025-03-11,22878368,189.40106,19848,1.42866,189.40106,22878368
2025-03-12,21444756,135.56905,19824,0.63976,135.56905,21444756
2025-03-13,21911718,127.36943,19650,0.46984,127.36943,21911718
2025-03-14,22406767,113.57008,20066,0.38507,113.57008,22406767
2025-03-15,,,20066,0.19487,110.7881438,22683508.88
2025-03-16,,,19724,0.26535,105.2242713,23236992.63
2025-03-17,,,20110,0.41979,102.442335,23513734.5
2025-03-18,,,19841,0.25847,99.66039875,23790476.38
2025-03-19,,,20307,0.42891,94.09652625,24343960.13
2025-03-20,24620702,91.31459,20057,0.2973,91.31459,24620702
2025-03-21,19670835,77.99511,19864,0.17819,77.99511,19670835
2025-03-22,19648027,56.79973,19815,0.15375,56.79973,19648027
2025-03-23,,,19843,0.09319,0.09319,19843
