date,merged_apy,merged_tvl,merged_apy_scaled,merged_tvl_scaled
2024-04-18,153.00212,18169.0,0.08375616719402447,-0.7225278819394328
2024-04-19,140.25255,18816.0,-0.025290179029798784,-0.7224761917646461
2024-04-20,69.89042,19264.0,-0.6270934703585005,-0.72244040011348
2024-04-21,56.53145,19071.0,-0.7413519800818614,-0.7224558192846297
2024-04-22,91.34744,19220.0,-0.4435728001044053,-0.7224439153649338
2024-04-23,63.97831,18812.0,-0.677659410541058,-0.7224765113329601
2024-04-24,66.77054,18357.0,-0.653777626346254,-0.7225128622286756
2024-04-25,71.69639,18255.0,-0.6116471117840673,-0.7225210112206822
2024-04-26,65.13244,17702.0,-0.6677882023695431,-0.7225651915400904
2024-04-27,86.61919,18079.0,-0.48401325311833393,-0.7225350722264975
2024-04-28,30.47138,18411.0,-0.9642422748790253,-0.7225085480564368
2024-04-29,83.80654,18259.0,-0.508069688410382,-0.7225206916523682
2024-04-30,93.95663,17754.0,-0.4212565466069354,-0.7225610371520086
2024-05-01,116.07236,17600.0,-0.2321019672311134,-0.7225733405320969
2024-05-02,97.50598,17721.0,-0.3908991581640682,-0.7225636735905989
2024-05-03,35.76661,17401.0,-0.918952474210079,-0.7225892390557176
2024-05-04,32.99383,17298.0,-0.942667903662405,-0.7225974679398026
2024-05-05,75.63126,17368.0,-0.5779923927334846,-0.7225918754943079
2024-05-06,124.80731,17457.0,-0.15739243726674704,-0.7225847650993218
2024-05-07,141.53895,17514.0,-0.014287673080004008,-0.7225802112508476
2024-05-08,57.45934,19589.0,-0.7334157897477857,-0.7224144351879689
2024-05-09,97.3323,19985.0,-0.39238463331437934,-0.7223827979248846
2024-05-10,114.72462,21471.0,-0.24362911070808524,-0.7222640782962398
2024-05-11,39.10283,21415.0,-0.8904179745211606,-0.7222685522526356
2024-05-12,38.96312,21722.0,-0.8916129061957919,-0.7222440253845374
2024-05-13,382.16219,21643.0,2.043749197068414,-0.7222503368587385
2024-05-14,92.20859,20318.0,-0.4362074331900196,-0.7223561938627454
2024-05-15,99.98744,22074.0,-0.36967537208339485,-0.7222159033729069
2024-05-16,113.49934,22430.0,-0.2541088607781759,-0.7221874617929624
2024-05-17,80.70595,23502.0,-0.5345888581265469,-0.722101817484815
2024-05-18,53.9292,23479.0,-0.7636088761545089,-0.7221036550026203
2024-05-19,50.55614,22692.0,-0.7924584662656837,-0.7221665300683965
2024-05-20,100.70777,24000.0,-0.3635144306104349,-0.7220620312297241
2024-05-21,79.01462,23935.0,-0.5490547073088127,-0.7220672242148263
2024-05-22,82.43605,23515.0,-0.5197914113419231,-0.7221007788877946
2024-05-23,63.30062,23253.0,-0.6834556545220253,-0.7221217106123604
2024-05-24,62.60583,23269.0,-0.6893981538292845,-0.7221204323391045
2024-05-25,6.29287,23008.0,-1.1710396941360024,-0.7221412841715918
2024-05-26,33.23898,22938.0,-0.9405711496717395,-0.7221468766170865
2024-05-27,38.17265,23317.0,-0.8983737510948391,-0.7221165975193367
2024-05-28,47.15591,22794.0,-0.8215404398397439,-0.72215838107639
2024-05-29,41.38441,22496.0,-0.8709037506989178,-0.7221821889157817
2024-05-30,127.06224,22563.0,-0.13810614937699967,-0.7221768361465225
2024-05-31,34.72177,22425.0,-0.9278889312347866,-0.7221878612533549
2024-06-01,11.03119,22491.0,-1.1305131129854797,-0.7221825883761742
2024-06-02,38.75524,22356.0,-0.8933908919986863,-0.7221933738067711
2024-06-03,44.74612,22782.0,-0.8421512364914513,-0.722159339781332
2024-06-04,38.70314,22960.0,-0.8938365003320076,-0.7221451189913597
2024-06-05,42.01458,23314.0,-0.8655139425720659,-0.7221168371955722
2024-06-06,64.26378,23644.0,-0.6752178018862943,-0.7220904728096685
2024-06-07,86.70056,23368.0,-0.48331730014170554,-0.7221125230233334
2024-06-08,0.18642,23567.0,-1.223267813272449,-0.7220966244997127
2024-06-09,86.44835,23563.0,-0.48547443791036043,-0.7220969440680267
2024-06-10,63.51403,22914.0,-0.6816303709440205,-0.7221487940269704
2024-06-11,61.64723,22534.0,-0.697597005044671,-0.7221791530167988
2024-06-12,94.81448,21055.0,-0.413919404404641,-0.7222973134008941
2024-06-13,57.15593,20474.0,-0.7360108382010095,-0.7223437306985001
2024-06-14,21.73484,19930.0,-1.0389654040228538,-0.7223871919892018
2024-06-15,30.01636,20204.0,-0.9681340350292706,-0.7223653015596939
2024-06-16,28.04408,20429.0,-0.9850028335636778,-0.7223473258420324
2024-06-17,83.53637,19664.0,-0.5103804370363584,-0.7224084432820816
2024-06-18,122.31884,17853.0,-0.1786761794782568,-0.7225531278362375
2024-06-19,76.38977,18990.0,-0.5715048998945707,-0.7224622905429878
2024-06-20,65.25654,19487.0,-0.6667267821360469,-0.7224225841799754
2024-06-21,79.37149,19690.0,-0.5460024185197088,-0.7224063660880408
2024-06-22,0.00169,19465.0,-1.224847798443551,-0.7224243418057024
2024-06-23,70.20887,19364.0,-0.6243697856416844,-0.7224324109056304
2024-06-24,48.40473,19484.0,-0.8108593534900682,-0.7224228238562109
2024-06-25,70.97814,19363.0,-0.6177902631354666,-0.7224324907977089
2024-06-26,22.66771,18555.0,-1.0309866200323492,-0.7224970435971335
2024-06-27,17.62372,18518.0,-1.0741275792874068,-0.7224999996040378
2024-06-28,19.15384,17784.0,-1.0610405500555191,-0.7225586403896537
2024-06-29,1.33761,17570.0,-1.2134217507535245,-0.7225757372944518
2024-06-30,5.69121,18352.0,-1.1761856578562708,-0.7225132616890682
2024-07-01,18.9995,18132.0,-1.062360611287089,-0.7225308379463372
2024-07-02,47.98137,18395.0,-0.8144803274630977,-0.7225098263296929
2024-07-03,30.38036,17415.0,-0.9650207637561632,-0.7225881205666187
2024-07-04,14.25529,16111.0,-1.1029375692722228,-0.7226922998369771
2024-07-05,28.42847,14948.0,-0.981715167781618,-0.7227852143242677
2024-07-06,15.97893,16008.0,-1.0881953744997535,-0.7227005287210622
2024-07-07,3.15803,14907.0,-1.1978518021519033,-0.722788489899486
2024-07-08,4.40845,15522.0,-1.1871570310933348,-0.7227393562712111
2024-07-09,5.73459,16338.0,-1.1758146311864155,-0.7226741643351586
2024-07-10,15.41975,16476.0,-1.092978009198919,-0.7226631392283261
2024-07-11,86.46666,16965.0,-0.4853178335229687,-0.7226240720019418
2024-07-12,66.17137,16757.0,-0.6589022932383083,-0.7226406895542689
2024-07-13,31.24009,17048.0,-0.9576675420209197,-0.7226174409594266
2024-07-14,89.56758,17917.0,-0.45879584133559465,-0.7225480147432137
2024-07-15,70.69445,18608.0,-0.620216647551587,-0.7224928093169732
2024-07-16,90.87659,19159.0,-0.44759995334325875,-0.722448788781722
2024-07-17,74.65682,18912.0,-0.5863267225669098,-0.7224685221251105
2024-07-18,32.17491,18195.0,-0.9496720797914521,-0.722525804745392
2024-07-19,23.02984,18945.0,-1.0278893427627602,-0.7224658856865201
2024-07-20,31.95676,18885.0,-0.951537904319552,-0.7224706792112299
2024-07-21,27.30655,18931.0,-0.9913108856572352,-0.722467004175619
2024-07-22,37.68968,18734.0,-0.9025045660035552,-0.7224827429150827
2024-07-23,30.63364,18362.0,-0.9628544743384362,-0.7225124627682832
2024-07-24,23.76777,17559.0,-1.0215778694919797,-0.7225766161073153
2024-07-25,8.44532,17096.0,-1.1526299118508374,-0.7226136061396587
2024-07-26,23.46234,17898.0,-1.0241901948901806,-0.7225495326927052
2024-07-27,21.37475,17982.0,-1.0420452332886043,-0.7225428217581116
2024-07-28,49.56366,17062.0,-0.800947091191875,-0.7226163224703277
2024-07-29,26.48204,17223.0,-0.9983628727379764,-0.7226034598456899
2024-07-30,2.96232,16542.0,-1.199525698637782,-0.7226578663511455
2024-07-31,12.65596,16593.0,-1.1166165476931538,-0.7226537918551421
2024-08-01,4.3922,16410.0,-1.187296016418027,-0.7226684121055069
2024-08-02,5.65284,15170.0,-1.1765138342814059,-0.7227674782828416
2024-08-03,5.04042,14448.0,-1.1817518276689785,-0.7228251603635155
2024-08-04,11.65713,13963.0,-1.1251594838077632,-0.722863908021586
2024-08-05,28.46074,13044.0,-0.9814391643091368,-0.7229373288417236
2024-08-06,10.37935,14207.0,-1.1360882633883984,-0.722844414354433
2024-08-07,10.01087,14505.0,-1.1392398518464053,-0.7228206065150413
2024-08-08,25.52077,18509.0,-1.006584560311328,-0.7225007186327442
2024-08-09,101.66135,19013.0,-0.35535851516919936,-0.7224604530251825
2024-08-10,129.66354,20221.0,-0.11585737860025716,-0.7223639433943595
2024-08-11,220.76167,19725.0,0.6632997399788696,-0.7224035698652934
2024-08-12,334.98473,22218.0,1.6402430680679392,-0.7222043989136036
2024-08-13,173.37482,21384.0,0.2580027102314829,-0.722271028907069
2024-08-14,130.37049,20769.0,-0.1098108755054132,-0.7223201625353438
2024-08-15,113.26374,19484.0,-0.2561239341626378,-0.7224228238562109
2024-08-16,53.86118,19223.0,-0.7641906473413134,-0.7224436756886983
2024-08-17,28.68435,19344.0,-0.9795266407119403,-0.7224340087472003
2024-08-18,30.61894,19678.0,-0.9629802026013886,-0.7224073247929828
2024-08-19,49.09505,20878.0,-0.8049550858382784,-0.7223114542987878
2024-08-20,71.27937,20290.0,-0.6152138600981091,-0.7223584308409433
2024-08-21,23.80493,19996.0,-1.0212600421279447,-0.7223819191120211
2024-08-22,27.18195,25633.0,-0.9923765823622605,-0.7219315674655404
2024-08-23,187.22898,32907.0,0.3764965518277286,-0.7213504324865624
2024-08-24,94.22897,32809.0,-0.41892723809452315,-0.7213582619102549
2024-08-25,74.29374,32681.0,-0.5894321251324038,-0.7213684880963024
2024-08-26,122.25578,31202.0,-0.1792155280674934,-0.7214866484803976
2024-08-27,153.47011,29236.0,0.08775885901573208,-0.7216437163067203
2024-08-28,110.11351,19390.0,-0.2830676719722011,-0.7224303337115895
2024-08-29,33.31697,19224.0,-0.939904105642647,-0.7224435957966198
2024-08-30,24.50816,19814.0,-1.0152453559812764,-0.7223964594703073
2024-08-31,11.20055,19281.0,-1.129064586549179,-0.7224390419481456
2024-09-01,5.59307,18186.0,-1.1770250436879817,-0.7225265237740984
2024-09-02,4.56425,18461.0,-1.1858244825649005,-0.7225045534525121
2024-09-03,18.20712,15911.0,-1.0691377923073768,-0.7227082782526763
2024-09-04,6.19014,15920.0,-1.1719183379763491,-0.7227075592239698
2024-09-05,4.5246,15665.0,-1.1861636067571495,-0.7227279317039862
2024-09-06,9.53028,16181.0,-1.1433503107506435,-0.7226867073914824
2024-09-07,13.33469,17142.0,-1.110811408651406,-0.722609931104048
2024-09-08,91.83019,18069.0,-0.43944386684316195,-0.7225358711472825
2024-09-09,71.84632,18517.0,-0.610364769031383,-0.7225000794961163
2024-09-10,98.01991,17859.0,-0.3865035441382767,-0.7225526484837665
2024-09-11,78.18444,18016.0,-0.5561551895766925,-0.7225401054274427
2024-09-12,205.35761,19641.0,0.5315496919370493,-0.7224102807998871
2024-09-13,128.73399,19527.0,-0.12380776681980932,-0.7224193884968356
2024-09-14,56.99859,19734.0,-0.7373565582617532,-0.722402850836587
2024-09-15,182.70333,20545.0,0.3377889250773482,-0.7223380583609269
2024-09-16,163.82596,19895.0,0.17633185438279014,-0.7223899882119491
2024-09-17,259.506,21504.0,0.9946777882887393,-0.7222614418576495
2024-09-18,508.02028,24897.0,3.120206274225458,-0.7219903680353134
2024-09-19,306.02041,24217.0,1.392512888394616,-0.7220446946486905
2024-09-20,198.05735,24159.0,0.4691109838485469,-0.7220493283892433
2024-09-21,116.05115,24291.0,-0.23228337515337327,-0.7220387826348817
